"name","role","season","episodeName","actorName","gender"
"171","Mike Royce","Victim",3,"To Love and Die in L.A.","Beghe, Jason","m"
"172","Mitch Yancey","Killer",4,"Rise","Ashworth, Landon","m"
"173","Monica Wyatt","Killer",3,"Slice of Death","Vassey, Liz","f"
"174","Mukhta Baylor","Killer",1,"Always Buy Retail","Okumu, Robert","m"
"175","Naomi Allen","Victim",4,"The Limey",NA,NA
"176","Nazihah Alhabi","Kidnap Victim",3,"Countdown","Soomekh, Bahar","f"
"177","Nelson Blakely","Victim",4,"Pandora (Part 1)",NA,NA
"178","Nicole Graham","Victim",2,"Wrapped Up in Death",NA,NA
"179","Nigel Wyndham","Conspirator",4,"The Limey","Shaughnessy, Charles","m"
"180","Nina Burns","Victim",3,"Slice of Death",NA,NA
"181","Nina Mendola","Kidnapper",1,"Little Girl Lost","Torres, Jacqueline","f"
"182","Odette Morton","Conspirator",4,"A Dance With Death",NA,NA
"183","Olivia Debiasse","Victim",2,"Kill the Messenger",NA,NA
"184","Orlando Costas","Victim",4,"Always","LeBron, Riccardo","m"
"185","Owen Thomas","Victim",4,"Once Upon a Crime",NA,NA
"186","Paula Casillas","Killer",3,"He's Dead, She's Dead","Armstrong, Bess","f"
"187","Paul Finch","Victim",2,"Den of Thieves","Betts, Erik","m"
"188","Philip Lee","Killer",4,"Kick the Ballistics","Joon, Lanny","m"
"189","Philip Westlake","Victim",3,"The Final Nail",NA,NA
"190","Prison Guard Patterson","Conspirator",2,"Kill the Messenger",NA,NA
"191","Radford Hayes","Killer",3,"Countdown",NA,NA
"192","Rebecca Siegel","Killer",4,"Heartbreak Hotel",NA,NA
"193","Rebecca Strong","Victim",2,"Overkill","Hall, Jennifer","f"
"194","Reese Harmon","Killer",3,"One Life to Lose","Majorino, Tina","f"
"195","Reggie Starr","Killer",4,"An Embarrassment of Bitches","Hartley, Justin","m"
"196","Richard Castle","Hostage",4,"Cops and Robbers","Fillion, Nathan","m"
"197","Richard Pastori","Victim",1,"Home Is Where the Heart Stops",NA,NA
"198","Robert Fox aka Robert \"Bobby\" Fox","Killer",2,"Suicide Squeeze",NA,NA
"199","Robert Kincaid","Killer",3,"Murder Most Fowl","Jerome, Paul","m"
"200","Rob Tredwyck aka Rob \"The Rocket\" Tredwyck","Killer",3,"The Dead Pool",NA,NA
"201","Roger Farraday","Victim",2,"A Deadly Game","Cates, Dean","m"
"202","Ron Brandt aka Sal Martino","Killer",4,"Cops and Robbers",NA,NA
"203","Roy Montgomery","Victim",3,"Knockout",NA,NA
"204","Roy Montgomery","Killer",3,"Knockout",NA,NA
"205","Russell Ganz","Killer",3,"To Love and Die in L.A.","Purcell, Dominic","m"
"206","Ruth Spurlock","Killer",4,"Cuffed",NA,NA
"207","Sally Campbell","Victim",4,"The Blue Butterfly",NA,NA
"208","Sally Campbell","Killer",4,"The Blue Butterfly",NA,NA
"209","Sam Parker aka Jack Holland","Victim",2,"One Man's Treasure",NA,NA
"210","Sam Siegel","Victim",4,"Heartbreak Hotel",NA,NA
"211","Samuel Cavanagh","Victim",1,"A Chill Goes Through Her Veins",NA,NA
"212","Samuel Cavanagh","Killer",1,"A Chill Goes Through Her Veins",NA,NA
"213","Samuel Lynchberg","Killer",4,"A Dance With Death","Sullivan, Larry","m"
"214","Sandra Keller","Victim",2,"Tick, Tick, Tick...","Klein, Barbara Anne","f"
"215","Sara Cutler","Victim",3,"One Life to Lose",NA,NA
"216","Sarah Vasquez","Victim",4,"Kill Shot","Ferraro, Christina","f"
"217","Sara Manning","Victim",1,"Nanny McDead",NA,NA
"218","Scarlett Price","Killer",2,"Love Me Dead","McManus, Michaela","f"
"219","Scott Donner","Killer",3,"Nikki Heat","Calabro, Thomas","m"
"220","Scott Dunn","Killer",2,"Boom! (Part 2)",NA,NA
"221","Scott Murray","Victim",3,"Knockdown",NA,NA
"222","Several Other Civilians","Hostage",4,"Cops and Robbers",NA,NA
"223","Shawn York","Killer",3,"Lucky Stiff","Reegan, Joe","m"
"224","Simone","Hostage",4,"Cops and Robbers",NA,NA
"225","Sonia Gilbert","Victim",4,"Rise",NA,NA
"226","Sophia Turner","Victim",4,"Linchpin (Part 2)",NA,NA
"227","Sophia Turner","Killer",4,"Linchpin (Part 2)",NA,NA
"228","Sophie Ronson","Victim",2,"A Rose for Everafter","Morgan, Bonnie","f"
"229","Stacey Collins","Victim",3,"Nikki Heat","Staggs, Monica","f"
"230","Stan Banks","Victim",4,"The Blue Butterfly",NA,NA
"231","Stanford Raynes aka Dr. Stanford Raynes","Killer",2,"Wrapped Up in Death",NA,NA
"232","Stan Holliwell","Killer",2,"Den of Thieves",NA,NA
"233","Stan Kopek","Killer",2,"The Third Man","Curry, Jon","m"
"234","Stephen Addison","Killer",3,"Law & Murder","Rhines, Houston","m"
"235","Steven Fletcher","Victim",2,"Fool Me Once…","Beinbrink, Will","m"
"236","Steven Heisler","Killer",3,"Last Call","Muirhead, Oliver","m"
"237","Sue Vaughn","Killer",2,"Fool Me Once…","Riker, Jennifer","f"
"238","Susan Delgado","Victim",1,"Home Is Where the Heart Stops",NA,NA
"239","Susan Mailer","Victim",1,"Ghosts","Armenante, Jillian","f"
"240","Susan Mailer","Killer",1,"Ghosts","Armenante, Jillian","f"
"241","Tanya Brandt","Assalt Victim",4,"Cops and Robbers","Daniels, Holly","f"
"242","Ted Murphy","Killer",2,"A Rose for Everafter",NA,NA
"243","Theresa Candela","Kidnapper",1,"Little Girl Lost","Reyes, Judy","f"
"244","Thomas Gage","Victim",4,"Linchpin (Part 2)",NA,NA
"245","Thomas Gage","Killer",4,"Pandora (Part 1)",NA,NA
"246","Todd McCutcheon","Victim",3,"A Deadly Affair",NA,NA
"247","Tom Williams","Killer",4,"Undead Again","Doom, Ryan","m"
"248","Tony Valtini aka Tony \"The Butcher\" Valtini","Killer",4,"Heroes and Villains",NA,NA
"249","Tracey McGrath","Victim",4,"Pandora (Part 1)",NA,NA
"250","Trapper John","Victim",4,"Cops and Robbers","Pettie, Darren","m"
"251","Travis McBoyd","Killer",2,"Inventing the Girl","Barr, Matt","m"
"252","Troy Kenworth","Killer",3,"Punked","Nelson, Ian","m"
"253","Tyler Donegal","Kidnap Victim",3,"Murder Most Fowl","Griffith, Gattlin","m"
"254","Tyler Faris","Victim",4,"Heroes and Villains","Ferris, James","m"
"255","Ung Kyu","Killer",3,"Close Encounters of the Murderous Kind","Leong, Will","m"
"256","Unknown","Killer",3,"Setup",NA,NA
"257","Unknown Killer","Killer",4,"Pandora (Part 1)",NA,NA
"258","Unnamed Man 1","Killer",3,"Murder Most Fowl",NA,NA
"259","Unnamed Man 2","Killer",3,"Murder Most Fowl",NA,NA
"260","Unnamed Tattooed Russian","Killer",2,"Deep in Death",NA,NA
"261","Valerie Monroe aka Dr Valerie Monroe","Victim",3,"Anatomy of a Murder",NA,NA
"262","Victor Fink","Victim",2,"The Fifth Bullet",NA,NA
"263","Victoria Westlake aka Victoria \"Vicky\" Westlake","Victim",3,"The Final Nail",NA,NA
"264","Victor Racine","Killer",2,"Den of Thieves","Ironside, Michael","m"
"265","Viola Maddox aka Vera Mulqueen","Killer",4,"The Blue Butterfly",NA,NA
"266","Violet Young","Attempted Murder Victim",3,"To Love and Die in L.A.","Voth, Julia","f"
"267","Vivian Marchand","Victim",3,"He's Dead, She's Dead",NA,NA
"268","Western High School Track Team","Attempted Murder Victim",4,"Kill Shot",NA,NA
"269","Will Medina","Victim",2,"Wrapped Up in Death","Foster, Kevin","m"
"270","Zach Lindsey","Victim",3,"The Dead Pool",NA,NA
"271","Zalman Drake","Victim",3,"Poof Youre Dead","Hephner, Jeff","m"
